row_index,parameter_profile,case_id,v_alpha_raw,v_beta_raw,vdc_raw,source_sector,oracle_sector,sector_match,sector_exception,source_t1_norm,oracle_t1_norm,t1_error,source_t2_norm,oracle_t2_norm,t2_error,source_duty_u_norm,oracle_duty_u_norm,duty_u_error,source_duty_v_norm,oracle_duty_v_norm,duty_v_error,source_duty_w_norm,oracle_duty_w_norm,duty_w_error
68,real_commissioning,sat_start,756527,-309209,1572864,2,2,1,0,0.551233358272965,0.5512336133979260921478271484375,2.551249610921478271484375E-7,0.340513278177635,0.34051317139528691768646240234375,1.0678234808231353759765625E-7,0.0541266817747002,0.05412662029266357421875,6.148203662578125E-8,0.9458733182253,0.94587337970733642578125,6.148203642578125E-8,0.605360040047665,0.605360209941864013671875,1.69894199013671875E-7
69,real_commissioning,sat_hold_1,756527,-309209,1572864,2,2,1,0,0.551233359111079,0.5512336133979260921478271484375,2.542868470921478271484375E-7,0.340513278695363,0.34051317139528691768646240234375,1.0730007608231353759765625E-7,0.0541266810967793,0.05412662029266357421875,6.080411572578125E-8,0.945873318903221,0.94587337970733642578125,6.080411542578125E-8,0.605360040207858,0.605360209941864013671875,1.69734006013671875E-7
70,real_commissioning,sat_hold_2,756527,-309209,1572864,2,2,1,0,0.551233359106968,0.5512336133979260921478271484375,2.542909580921478271484375E-7,0.340513278692824,0.34051317139528691768646240234375,1.0729753708231353759765625E-7,0.0541266811001043,0.05412662029266357421875,6.080744072578125E-8,0.945873318899896,0.94587337970733642578125,6.080744042578125E-8,0.605360040207072,0.605360209941864013671875,1.69734792013671875E-7
71,real_commissioning,sat_hold_3,756527,-309209,1572864,2,2,1,0,0.551233358951248,0.5512336133979260921478271484375,2.544466780921478271484375E-7,0.340513278596631,0.34051317139528691768646240234375,1.0720134408231353759765625E-7,0.0541266812260604,0.05412662029266357421875,6.093339682578125E-8,0.94587331877394,0.94587337970733642578125,6.093339642578125E-8,0.605360040177309,0.605360209941864013671875,1.69764555013671875E-7
72,real_commissioning,sat_hold_4,756527,-309209,1572864,2,2,1,0,0.551233358788382,0.5512336133979260921478271484375,2.546095440921478271484375E-7,0.340513278496023,0.34051317139528691768646240234375,1.0710073608231353759765625E-7,0.0541266813577974,0.05412662029266357421875,6.106513382578125E-8,0.945873318642203,0.94587337970733642578125,6.106513342578125E-8,0.605360040146179,0.605360209941864013671875,1.69795685013671875E-7
73,real_commissioning,recovery_1,122627,-81751,1572864,2,2,1,0,0.0719348181297493,0.07193510304205119609832763671875,2.8491230189609832763671875E-7,0.0900276723139733,0.09002743219025433063507080078125,2.4012371896936492919921875E-7,0.419018754778139,0.41901874542236328125,9.35577571875E-9,0.580981245221861,0.58098125457763671875,9.35577571875E-9,0.490953572907888,0.490953862667083740234375,2.89759195740234375E-7
74,real_commissioning,recovery_2,-204259,136173,1572864,5,5,1,0,0.149958883272601,0.14995908946730196475982666015625,2.0619470096475982666015625E-7,0.119821658362265,0.119821346364915370941162109375,3.11997349629058837890625E-7,0.634890270817433,0.63489019870758056640625,7.210985243359375E-8,0.365109729182567,0.36510980129241943359375,7.210985243359375E-8,0.515068612455168,0.51506888866424560546875,2.7620907760546875E-7
75,real_commissioning,recovery_3,-204259,136173,1572864,5,5,1,0,0.149958883272601,0.14995908946730196475982666015625,2.0619470096475982666015625E-7,0.119821658362265,0.119821346364915370941162109375,3.11997349629058837890625E-7,0.634890270817433,0.63489019870758056640625,7.210985243359375E-8,0.365109729182567,0.36510980129241943359375,7.210985243359375E-8,0.515068612455168,0.51506888866424560546875,2.7620907760546875E-7
76,real_commissioning,recovery_4,-204259,136173,1572864,5,5,1,0,0.149958883272601,0.14995908946730196475982666015625,2.0619470096475982666015625E-7,0.119821658362265,0.119821346364915370941162109375,3.11997349629058837890625E-7,0.634890270817433,0.63489019870758056640625,7.210985243359375E-8,0.365109729182567,0.36510980129241943359375,7.210985243359375E-8,0.515068612455168,0.51506888866424560546875,2.7620907760546875E-7
77,real_commissioning,q_zero,-139932,0,1572864,4,4,1,0,-0E+4,0,0,0.133449114931428,0.133449554443359375,4.39511931375E-7,0.566724557465714,0.5667247772216796875,2.197559656875E-7,0.433275442534286,0.4332752227783203125,2.197559656875E-7,0.433275442534286,0.4332752227783203125,2.197559656875E-7
