# theta_u16 sin_raw cos_raw
1399 8745 64950
1400 8770 64947
1401 8770 64947
1402 8770 64947
1403 8770 64947
1404 8795 64943
1405 8795 64943
1406 8795 64943
1407 8795 64943
1408 8820 64940
1409 8820 64940
1410 8820 64940
1411 8820 64940
1412 8845 64936
1413 8845 64936
1414 8845 64936
1415 8845 64936
1416 8870 64933
1417 8870 64933
1418 8870 64933
1419 8870 64933
1420 8895 64930
1421 8895 64930
1422 8895 64930
1423 8895 64930
1424 8919 64926
1425 8919 64926
1426 8919 64926
1427 8919 64926
1428 8944 64923
1429 8944 64923
1430 8944 64923
1431 8944 64923
1432 8969 64919
1433 8969 64919
1434 8969 64919
1435 8969 64919
1436 8994 64916
1437 8994 64916
1438 8994 64916
1439 8994 64916
1440 9019 64912
1441 9019 64912
1442 9019 64912
1443 9019 64912
1444 9044 64909
1445 9044 64909
1446 9044 64909
1447 9044 64909
1448 9069 64905
1449 9069 64905
1450 9069 64905
1451 9069 64905
1452 9094 64902
1453 9094 64902
1454 9094 64902
1455 9094 64902
1456 9119 64899
1457 9119 64899
1458 9119 64899
1459 9119 64899
1460 9144 64895
1461 9144 64895
1462 9144 64895
1463 9144 64895
1464 9168 64892
1465 9168 64892
1466 9168 64892
1467 9168 64892
1468 9193 64888
1469 9193 64888
1470 9193 64888
1471 9193 64888
1472 9218 64884
1473 9218 64884
1474 9218 64884
1475 9218 64884
1476 9243 64881
1477 9243 64881
1478 9243 64881
1479 9243 64881
1480 9268 64877
1481 9268 64877
1482 9268 64877
1483 9268 64877
1484 9293 64874
1485 9293 64874
1486 9293 64874
1487 9293 64874
1488 9318 64870
1489 9318 64870
1490 9318 64870
1491 9318 64870
1492 9343 64867
1493 9343 64867
1494 9343 64867
1495 9343 64867
1496 9367 64863
1497 9367 64863
1498 9367 64863
1499 9367 64863
1500 9392 64859
1501 9392 64859
1502 9392 64859
1503 9392 64859
1504 9417 64856
1505 9417 64856
1506 9417 64856
1507 9417 64856
1508 9442 64852
1509 9442 64852
